year,filing_date,owner,asset,ticker,type,transaction_date,amount_range,price_trade_date,price_filing_date,URL
2024,11/7/2024,,"AppFolio, Inc. - Class A Common",APPF,Sell,10/01/2024,"$1,001 - $15,000",232.15,228.53,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2024,11/7/2024,SP,"AppFolio, Inc. - Class A Common",APPF,Sell,10/01/2024,"$1,001 - $15,000",232.15,228.53,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2024,11/7/2024,SP,McKesson Corporation Common,MCK,Buy,10/01/2024,"$1,001 - $15,000",493.63,596.05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2024,11/7/2024,,McKesson Corporation Common,MCK,Buy,10/01/2024,"$1,001 - $15,000",493.63,596.05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2024,11/7/2024,,Nu Holdings Ltd. Class A Ordinary,NU,Buy,10/01/2024,"$1,001 - $15,000",13.51,15.17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2024,11/7/2024,SP,Nu Holdings Ltd. Class A Ordinary,NU,Buy,10/01/2024,"$1,001 - $15,000",13.51,15.17,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2024,11/7/2024,,"Synopsys, Inc. - Common Stock",SNPS,Sell,10/01/2024,"$1,001 - $15,000",498.16,568.68,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2024,11/7/2024,SP,"Synopsys, Inc. - Common Stock",SNPS,Sell,10/01/2024,"$1,001 - $15,000",498.16,568.68,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026099.pdf
2025,2/10/2025,,"First Citizens BancShares, Inc. - Class",FCNCA,Buy,01/21/2025,"$1,001 - $15,000",2219.42,2166.7,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026712.pdf
2025,2/10/2025,SP,"First Citizens BancShares, Inc. - Class",FCNCA,Buy,01/21/2025,"$1,001 - $15,000",2219.42,2166.7,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026712.pdf
2025,2/10/2025,,"First Citizens BancShares, Inc. - Class",FCNCA,Buy,01/16/2025,"$1,001 - $15,000",2133.61,2166.7,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026712.pdf
2025,2/10/2025,,GoDaddy Inc. Class A Common Stock,GDDY,Buy,01/16/2025,"$1,001 - $15,000",201.29,212.09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026712.pdf
2025,2/10/2025,SP,GoDaddy Inc. Class A Common Stock,GDDY,Buy,01/16/2025,"$1,001 - $15,000",201.29,212.09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026712.pdf
2025,2/10/2025,SP,GoDaddy Inc. Class A Common Stock,GDDY,Buy,01/21/2025,"$1,001 - $15,000",204.46,212.09,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026712.pdf
