year	filing_id	filing_date	owner	asset	ticker	type	transaction_date	notification_date	amount_range	price_trade_date	price_filing_date	pdf_url
2019	20010982	1/15/2019	JT	Corporate Capital Trust, Inc. (CCT)	CCT	Exchange	12/20/2018	12/20/2018	$100,001	12.56	12.56	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20010982.pdf
2019	20010982	1/15/2019	JT	Fs KKR Capital Corp. (FsK) [sT]	FSK	Exchange	12/20/2018	12/20/2018	$100,001	7.8	8.7	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20010982.pdf
2019	20011693	5/16/2019	JT	Fs KKR Capital Corp. (FsK) [sT]	FSK	Buy	04/02/2019	04/02/2019	$1,001 - $15,000	9.52	9.46	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011693.pdf
2019	20012167	8/15/2019	JT	Fs KKR Capital Corp. (FsK) [sT]	FSK	Buy	07/02/2019	07/02/2019	$1,001 - $15,000	9.62	8.99	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012167.pdf
2019	20012167	8/15/2019	JT	Red Hat, Inc. (RHT) [sT]	RHT	Sell	07/10/2019	07/10/2019	$15,001	0	0	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012167.pdf
2019	20012328	9/16/2019	JT	Chubb limited (Cb) [sT]	CB	Buy	08/07/2019	08/07/2019	$15,001	137.52	142.56	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012328.pdf
2019	20012328	9/16/2019	JT	Coca-Cola Company (KO) [sT]	KO	Buy	08/07/2019	08/07/2019	$15,001	43.26	44.57	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012328.pdf
2019	20012328	9/16/2019	JT	Colgate-Palmolive Company (Cl)	CL	Buy	08/07/2019	08/07/2019	$15,001	59.94	59.68	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012328.pdf
2019	20012328	9/16/2019	JT	Danaher Corporation (DHR) [sT]	DHR	Buy	08/07/2019	08/07/2019	$15,001	118.16	121.18	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012328.pdf
2019	20012328	9/16/2019	JT	Estee lauder Companies, Inc. (El)	EL	Buy	08/07/2019	08/07/2019	$50,001	166.43	177.44	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012328.pdf
2019	20012328	9/16/2019	JT	Exxon Mobil Corporation (XOM)	XOM	Buy	08/07/2019	08/07/2019	$50,001	51.9	55.47	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012328.pdf
