year	filing_id	filing_date	owner	asset	ticker	type	transaction_date	notification_date	amount_range	price_trade_date	price_filing_date	pdf_url
2022	20021142	06/03/2022	SP	Apple Inc.	AAPL	Buy	05/13/2022	05/13/2022	$500,001 - $1,000,000	146.1067	145.9367	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf
2022	20021142	06/03/2022	SP	Apple Inc.	AAPL	Buy	05/24/2022	05/24/2022	$250,001 - $500,000	139.8867	145.9367	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf
2022	20021142	06/03/2022	SP	Microsoft Corporation	MSFT	Buy	05/24/2022	05/24/2022	$50,001 - $100,000	258.15	270.6267	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf
2022	20021142	06/03/2022	SP	Microsoft Corporation	MSFT	Buy	05/24/2022	05/24/2022	$250,001 - $500,000	258.15	270.6267	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021142.pdf
2022	20020662	03/21/2022	SP	Tesla, Inc.	TSLA	Buy	03/17/2022	03/17/2022	$1,000,001	285.8133	307.9	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020662.pdf
2022	20020515	02/28/2022	SP	AllianceBernstein Holding l.	AB	Buy	01/27/2022	01/27/2022	$250,001	46.35	44.89	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020515.pdf
2022	20020515	02/28/2022	SP	American Express Company	AXP	Buy	01/21/2022	01/21/2022	$250,001	159.4333	192.9667	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020515.pdf
2022	20020515	02/28/2022	SP	Apple Inc.	AAPL	Buy	01/21/2022	01/21/2022	$1,000,001	163.68	164.3233	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020515.pdf
2022	20020515	02/28/2022	SP	PayPal Holdings, Inc.	PYPL	Buy	01/21/2022	01/21/2022	$500,001	166.6	111.465	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020515.pdf
2022	20020515	02/28/2022	SP	Walt Disney Company	DIS	Buy	01/21/2022	01/21/2022	$1,000,001	138.6267	148.1333	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020515.pdf
2022	20022063	11/30/2022	SP	Visa Inc.	V	Sell	11/08/2022	11/08/2022	$1,000,001 - $5,000,000	201.88	214.0033	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20022063.pdf
2022	20020916	05/03/2022	SP	Warner Bros. Discovery, Inc. - Series	WBD	Exchange	04/11/2022	04/11/2022	$50,001	24.8467	19.21	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020916.pdf
2022	20021374	07/14/2022	SP	Apple Inc.	AAPL	Sell	06/17/2022	06/17/2022	$100,001 - $250,000	131.4833	146.89	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021374.pdf
2022	20021374	07/14/2022	SP	NVIDIA Corporation	NVDA	Buy	06/17/2022	06/17/2022	$1,000,001 - $5,000,000	15.7343	15.191	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021374.pdf
2022	20021374	07/14/2022	SP	Visa Inc.	V	Sell	06/21/2022	06/21/2022	$1,000,001 - $5,000,000	194.95	203.3233	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021374.pdf
2022	20021837	10/14/2022	SP	Alphabet Inc. - Class C Capital Stock	GOOGL	Buy	09/16/2022	09/16/2022	$1,000,001	102.29	97.8733	https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021837.pdf
